2021-10-08 15:04:18.2963||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-08 15:04:18.3077||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-08 15:04:18.3077||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\git\Kroger\STTechExcercise\STTechExcercise |url: |action: 
2021-10-08 15:04:25.5202||INFO|STTechExcercise.Controllers.ReimbursementController|Projects to reimburse : [{"HighCostFlag":false,"StartDate":"2021-09-01T00:00:00","EndDate":"2021-09-01T00:00:00"},{"HighCostFlag":false,"StartDate":"2021-09-01T00:00:00","EndDate":"2021-09-01T00:00:00"},{"HighCostFlag":true,"StartDate":"2021-09-02T00:00:00","EndDate":"2021-09-02T00:00:00"},{"HighCostFlag":true,"StartDate":"2021-09-02T00:00:00","EndDate":"2021-09-03T00:00:00"}] |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:04:25.5257||INFO|STTechExcercise.Services.ProjectReimbursementService|Min StartDate : 9/1/2021 |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:04:25.5257||INFO|STTechExcercise.Services.ProjectReimbursementService|Max EndDate : 9/3/2021 |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:04:25.5257||INFO|STTechExcercise.Controllers.ReimbursementController|Reimbursement Value :185 |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:05:10.9035||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-08 15:05:10.9162||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-08 15:05:10.9162||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\git\Kroger\STTechExcercise\STTechExcercise |url: |action: 
2021-10-08 15:05:16.0163||INFO|STTechExcercise.Controllers.ReimbursementController|Projects to reimburse : [{"HighCostFlag":false,"StartDate":"2021-09-01T00:00:00","EndDate":"2021-09-01T00:00:00"},{"HighCostFlag":false,"StartDate":"2021-09-01T00:00:00","EndDate":"2021-09-01T00:00:00"},{"HighCostFlag":true,"StartDate":"2021-09-02T00:00:00","EndDate":"2021-09-02T00:00:00"},{"HighCostFlag":true,"StartDate":"2021-09-02T00:00:00","EndDate":"2021-09-03T00:00:00"}] |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:05:16.0236||INFO|STTechExcercise.Services.ProjectReimbursementService|Min StartDate : 9/1/2021 |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:05:16.0236||INFO|STTechExcercise.Services.ProjectReimbursementService|Max EndDate : 9/3/2021 |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:05:16.0236||INFO|STTechExcercise.Controllers.ReimbursementController|Reimbursement Value :185 |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:06:22.2998||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-08 15:06:22.3186||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-08 15:06:22.3258||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\git\Kroger\STTechExcercise\STTechExcercise |url: |action: 
2021-10-08 15:06:33.0250||INFO|STTechExcercise.Controllers.ReimbursementController|Projects to reimburse : [{"HighCostFlag":false,"StartDate":"2021-09-01T00:00:00","EndDate":"2021-09-01T00:00:00"},{"HighCostFlag":false,"StartDate":"2021-09-01T00:00:00","EndDate":"2021-09-01T00:00:00"},{"HighCostFlag":true,"StartDate":"2021-09-02T00:00:00","EndDate":"2021-09-02T00:00:00"},{"HighCostFlag":true,"StartDate":"2021-09-02T00:00:00","EndDate":"2021-09-03T00:00:00"}] |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:06:33.0250||INFO|STTechExcercise.Services.ProjectReimbursementService|Min StartDate : 9/1/2021 |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:06:33.0250||INFO|STTechExcercise.Services.ProjectReimbursementService|Max EndDate : 9/3/2021 |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:06:33.0391||INFO|STTechExcercise.Controllers.ReimbursementController|Reimbursement Value :185 |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:07:02.6807||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-08 15:07:02.6942||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-08 15:07:02.6942||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\git\Kroger\STTechExcercise\STTechExcercise |url: |action: 
2021-10-08 15:07:08.3730||INFO|STTechExcercise.Controllers.ReimbursementController|Projects to reimburse : [{"HighCostFlag":false,"StartDate":"2021-09-01T00:00:00","EndDate":"2021-09-01T00:00:00"},{"HighCostFlag":false,"StartDate":"2021-09-01T00:00:00","EndDate":"2021-09-01T00:00:00"},{"HighCostFlag":true,"StartDate":"2021-09-02T00:00:00","EndDate":"2021-09-02T00:00:00"},{"HighCostFlag":true,"StartDate":"2021-09-02T00:00:00","EndDate":"2021-09-03T00:00:00"}] |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:07:08.3730||INFO|STTechExcercise.Services.ProjectReimbursementService|Min StartDate : 9/1/2021 |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:07:08.3730||INFO|STTechExcercise.Services.ProjectReimbursementService|Max EndDate : 9/3/2021 |url: https://localhost/api/Reimbursement|action: GetReimbursment
2021-10-08 15:07:08.3902||INFO|STTechExcercise.Controllers.ReimbursementController|Reimbursement Value :185 |url: https://localhost/api/Reimbursement|action: GetReimbursment
